,Point Defect Cnts,Clsuter Vlm,PCF PC 1,PCF PC 2,DislocationAnalysis.length.1/2<110>,DislocationAnalysis.length.1/3<100>,DislocationAnalysis.length.1/3<111>,DislocationAnalysis.length.1/6<110>,DislocationAnalysis.length.1/6<112>,DislocationAnalysis.length.other,DislocationAnalysis.total_line_length
peaks PC 3,-0.09016978288559536,-0.046527098135678985,0.0698330385635553,-0.27337074291333807,-0.1438953704937215,-0.2546803760793653,-0.007630552887225067,0.05654999478298794,-0.07594584619243107,-0.19552286123013274,-0.05960753215301087
peaks PC 4,0.018382771830001247,0.037271130585383436,-0.024356987089378602,-0.14083818271124884,-0.02339779540785184,-0.2639829893443282,0.11918791893565889,0.046536478542319806,-0.027802979678364613,-0.16291137908246356,-0.02012028356788245
peaks PC 5,0.03708781333191637,0.06693642947391709,-0.0509729798804331,-0.24967705762447623,-0.0033872210973758315,-0.09013391135362153,0.06210444715255171,0.08256728427281795,0.06221940366284911,0.13327766333787006,0.06656579130679703
peaks PC 6,0.012207000200403486,0.03522199469675092,-0.022507601631734583,-0.14208906541055918,-0.02647956798229288,-0.1993101697419793,-0.06053309237802787,0.12660660784455643,0.018869013606274753,-0.0682702824118333,0.032615444811239264
peaks PC 7,0.013982648080098638,0.019265553451262765,-0.012514920555257334,-0.0556768629208392,-0.039237041966798676,-0.10979868567271987,0.28824559632211894,0.059433990952216055,-0.005754789131659486,0.08536241396133057,0.01276162789150861
peaks PC 8,-0.016778084480193734,-0.04174246150976068,0.01851317904476953,0.3071695302215403,0.030357766194315006,0.018410029308794134,-0.2332734925922427,-0.147986744932647,0.04300482143917438,0.1628256104076268,0.0015307265951966357
SAED PC 1,-0.9819990840606917,-0.985951977468302,0.9857514382106736,0.0345746225917448,-0.8584303974321498,-0.5583873356640926,-0.6241736256724222,-0.9060182449712529,-0.9703218922510434,-0.7779253104330189,-0.9791682849069038
SAED PC 2,0.022837897541594456,0.046992237232226695,-0.036635122814650166,-0.18620611667885995,-0.03277137720577692,0.08940019787526465,0.18778330472220406,0.06466000696397067,-0.04938351055070621,-0.18050441718488366,-0.023155095789465122
SAED PC 3,-0.02077031118663543,0.027422979357945094,0.000281083257840325,-0.35899884850989594,-0.046952445420340466,-0.20487922509046233,0.12930474307584608,0.06931601029032648,-0.005824690875720112,-0.14189939200113127,0.0026544719968529507
SAED PC 4,0.07021231978055364,-0.005074548085152178,-0.04440635258627939,0.5679232359035136,0.11793833496803673,0.194596583034728,-0.052326808263511354,-0.13785159931013682,0.04418982318413526,0.1601702595478468,0.014321388337245819
SAED PC 5,0.00834679449307297,0.01149852080577741,-0.008817797381757243,-0.0475098751131917,0.10622172994377295,0.11991328394226788,0.1278430678804923,-0.00934336599125871,0.06135936520188774,0.018246610122547132,0.05154184715606735
SAED PC 6,0.04867430715922472,0.03344068814447726,-0.045983645910351534,0.09347449968724844,0.1532992569051758,0.2210205996560523,-0.06592869523106094,-0.14659457783598512,0.11303503603914555,0.17789477853556726,0.06503979688920926
SAED PC 7,-0.08681426152788867,-0.05894305055955205,0.0675688060977182,-0.12058806190165318,-0.09406971010893103,0.03382544054015427,0.03178296372075034,0.043571956602304666,-0.02094294853357207,0.003466070566114678,-0.006913666535525125
SAED PC 8,0.02971890317602177,-0.0004588930165218134,-0.024700449947068468,0.27425810195825473,-0.0335169942885289,0.07909675825488055,0.005154019713187275,-0.011284446015467476,-0.01858037795433199,0.1888885641504996,-0.009320284576796447
SAED PC 9,-0.05416921031795583,-0.04129523987198909,0.045388563826507446,-0.0865959619317205,-0.08657476475708419,-0.16935222304482442,-0.15194125599108171,0.01164418092595888,-0.058221433577769814,0.014108604922124813,-0.0488820522396246
SAED PC 10,-0.010105085900495935,-0.04593677449564811,0.018078142682533587,0.3079699615808172,-0.041371427260283936,0.0857485982313854,-0.2297763415803236,-0.10442347103081276,-0.0360984145871988,0.10193160641269751,-0.049075732848426416
SAED PC 11,0.03149546771045476,0.010305060611604135,-0.02557272603503612,0.20624584994962716,-0.00012815276006733964,-0.05749077476589648,-0.17237825922987565,-0.07962354088041103,0.012431112322658868,-0.07126267173848272,-0.014736611868888022
SAED PC 12,-0.0284161007815811,-0.055049891396498546,0.03218895953422232,0.3066700837320562,-0.005945076129124767,-0.2555097969954337,-0.14422708304445817,-0.14012376997760304,-0.029444323703148968,-0.05316876495216258,-0.06250771535299018
SAED PC 13,0.02926470500731563,0.023913223157654456,-0.028382468490094313,0.034193923207387414,-0.06523291537303985,-0.15713133819344177,0.2052871950126185,0.014077960286354893,-0.025107924773250353,-0.03449916421651199,-0.018059302403327926
SAED PC 14,-0.04683339922402941,-0.03611698147496947,0.03787655340521492,-0.017502123718406353,-0.041959700724424946,0.05125426811983225,0.07967566688279021,-0.06101386634643895,-0.04194593373211329,-0.02669568751419845,-0.043232055832150375
SAED PC 15,0.012943438411142906,0.02063943436292432,-0.013610223516736865,-0.09290523525929782,-0.0012439341302155887,0.28361982756172577,-0.05702872672577552,0.00339773861702175,0.034718440997436366,-0.0010173358332884511,0.03196842514422666
SAED PC 16,0.006297939481875204,0.004452358591658637,-0.010898207980691712,0.07460029824841553,-0.008725285989939654,-0.006343279454465573,0.005426674537001624,0.04170824994552769,0.012416383426698093,0.0794558464835784,0.020339056210017876
SAED PC 17,0.01950924974512095,0.026994450920237577,-0.026783203717625152,-0.07033730112628571,-0.0066346181422038235,-0.08496178918621779,-0.06504067424305846,-0.011087916948615327,-0.021127031740695783,-0.14378071186359387,-0.025479391020904768
SAED PC 18,0.02899775318701753,0.02929182611000889,-0.02976137705108469,-0.008758731293279564,-0.053092619210950966,0.08724820854063249,-0.19591720493184572,0.03273339442361396,0.015633410532239347,0.010420680098060289,0.016201028292463115
SAED PC 19,-0.03828450574523324,-0.03782470528471811,0.04185251547230107,-0.00263142093574959,0.03241048485177436,0.15183871791549705,-0.04902934305354855,-0.032747542035788384,-0.010206494875819948,-0.04741906284636588,-0.012433972992509765
SAED PC 20,0.009110111662761954,-0.001211277508014106,-0.010537435306685461,0.10642621592093529,0.022703007193042392,-0.03785500170665147,-0.10171889206033798,-0.030581456129167055,0.021809094068442652,-0.01324077614119394,0.0069090439984718
SAED PC 21,-0.0014317468394060044,0.0030661926921886845,0.007285426124176566,-0.04027661264736751,-0.07132893706260118,0.06856061360252873,0.09085764662598747,0.06623733972563517,-0.005989609331840653,0.1418450831078477,0.01562841144518087
SAED PC 22,0.005435490425949018,-0.009789644645084548,-0.006771261775431674,0.16419349883111117,-0.10489042108906793,-0.09288361036128914,0.049714777162670795,0.03315904482927606,-0.061239033569074404,-0.151743028089996,-0.04630993175440665
SAED PC 23,-0.02749588887730738,-0.0172687188090434,0.025220445882527098,-0.07804165594353639,0.10477996901563079,0.011448344750556295,0.038670784650059846,-0.06838590722484858,-0.0046576845043836525,0.09615048751725513,-0.011588203846728463
SAED PC 24,-0.00792265018804342,-0.012426049760641539,0.009236914844073345,0.06302265664929864,0.08272834900028242,0.04290671445041125,-0.027521885619484928,-0.01902167024174416,-0.0007876127881204982,-0.016845907619207342,-0.0026599231992832898
SAED PC 25,-0.0011014182805352513,-1.421905913953348e-05,0.002136302381798934,-0.0490241288455723,0.052306816749211664,-0.14292276152409594,-0.10056188255781748,0.00013414640489752095,-0.03156929909632867,-0.037745327885357165,-0.028267215451606213
SAED PC 26,0.005144422401338524,0.004630608758560071,-0.0021335875153654,-0.044438872097202306,0.0434928521810458,0.07425591203742832,0.10612416971977948,0.005401417676897597,0.007793518734712814,0.01906419391317583,0.012292471699794603
SAED PC 27,-0.008391948449177376,-0.014692932125726687,0.0046478498614640155,0.08525908969032864,0.03735734374274385,0.02276588427058503,-0.03396145586303325,-0.03980880686842474,0.010805591374695972,0.08645139827753798,0.002847894627794893
SAED PC 28,0.006141475716126435,0.011685964429571627,-0.003836372136524706,-0.05824656217268886,0.0842123549956251,0.061574614779533104,0.002554219309612014,0.060333140417633706,0.03528196219236424,0.03396966609902979,0.043761302116596366
SAED PC 29,0.025582570968839556,0.021731735396110126,-0.02110788909596065,-0.009384511938605209,-0.05126693608417722,0.004051988428545695,0.01825204705500497,0.05052168096306735,0.004122770599211373,-0.14081166582604424,0.00869995396524461
SAED PC 30,-0.004647952947274158,-0.010201942333600424,0.010594341363986556,0.014871565242878623,0.10338506343121645,0.04039993346353243,-0.07404483321841211,-0.04289337861513221,-0.005258007439865225,0.006603873514014866,-0.010652115655956437
SAED PC 31,0.006013920649540326,-0.0012353882637629275,-0.002518929712127599,0.04860750480310369,-0.0631353923503715,-0.059009106527722996,0.10143051984697112,0.04024242182999799,-0.011978537052426685,0.070795929355072,0.000987892443443222
SAED PC 32,0.0061358707378280095,0.003311796103697772,0.002215681673583813,-0.02831452053526457,-0.1304943687716405,0.14424247878332788,0.09880152881511499,0.059200626046858745,-0.02591825293627126,-0.01481097786001693,-0.004782330290124404
SAED PC 33,-0.0037001781403443843,0.00011846906215020841,0.0016421619129804975,-0.042207285687734755,0.05057995637246662,0.007741358381361893,0.034849333702037674,0.043125910959328766,-0.023742266786972385,-0.07572962050008865,-0.008380397411140305
SAED PC 34,-0.018032893459858066,-0.024825326307711938,0.02290737802275316,0.019997837418293207,-0.04337113656369184,0.06155321486744454,-0.057418575368437655,-0.04642071724135809,-0.013140733417155534,0.006200539846084451,-0.020234580701717086
SAED PC 35,0.0003534294394479141,-0.007342628128413823,0.002024692381755293,0.0937826410392849,0.07806734740314845,0.07832647430758939,-0.04657566227205522,-0.03659823337113544,0.04008678528231205,0.01976058494748249,0.025270398943608555
SAED PC 36,0.0069089132868031524,0.005338620235920871,-0.006918755936441062,0.024338682658309713,0.05256176462909086,0.05592908463505177,-0.020701187782560485,-0.025899404037507845,0.004886427604282104,0.0018672624721957336,0.00020405360009626643
SAED PC 37,-0.0021816595255322443,-0.006428807351885042,0.0021514288094154157,0.025032833666833718,-0.002619809690694811,-0.036838070911034394,0.20894071252547985,0.07069404250558249,-0.01539097911409198,0.054314449913008475,0.008538665868998306
SAED PC 38,-0.009017054747872578,-0.009027337601268491,0.011272431496288197,-0.016539383400609037,0.006850540404325281,-0.08193475590749458,-0.05172743267455196,-0.038139910507078004,-0.017317104356741785,-0.037610549181917835,-0.02503805810013767
SAED PC 39,0.006906255163440961,0.005352639787001524,-0.004186782861331893,-0.015522161118869955,-0.0005844293578160533,-0.003893997519158567,0.060744319089228595,-0.05946378531197204,0.0434980528122253,0.044424393593847304,0.021523996585285348
SAED PC 40,0.010930454299662575,0.007941602627764893,-0.011380178191813526,0.06338875312045539,0.04788907802236126,0.025358023593088908,0.0365321608071324,-0.017921531288898968,0.0502692560417491,0.10281481812676803,0.038666541393628046
SAED PC 41,-0.013698157736777255,-0.007099840217491292,0.008846596428945863,-0.06837749017027053,-0.062464441099636385,0.010689898987707745,-0.08934227971957551,0.027103064600040878,-0.018953388293245235,0.004297495269408646,-0.010736792497253417
SAED PC 42,-0.018899494472718544,-0.014841209668963592,0.016895325078306402,-0.01243299430288758,-0.030546572421749962,-0.02448406785257458,-0.009089106662925355,-0.05136919142330327,-0.01008237331920769,-0.07228721350671505,-0.02216256491262166
SAED PC 43,-0.005377886660898763,-0.008813640973847688,-0.001484654161195077,0.10071409856558872,-0.015112226956449508,-0.027693662456284678,0.18479795808391056,-0.004046953487933716,0.026727407334945105,0.11527696541082467,0.024601078973496355
SAED PC 44,-0.011945344690618784,-0.007550517946923574,0.011683821105836326,-0.02722374476686653,-0.054123476255150856,-0.011512138992410038,0.1818894529958368,0.0038186986589033695,-0.00800869773345768,-0.07478059065682609,-0.005630097978588938
SAED PC 45,-0.005872769488001356,-0.009727436745017358,0.0075714492691452695,0.0008373047431209271,-0.00610572448099977,-0.0752579151122576,-0.052015439959288305,0.024319249314291618,-0.024648104484412736,0.014910664577169634,-0.015340229318294207
SAED PC 46,-0.0030664379802801188,0.0037275097359605494,-0.002085796956075597,-0.008653544661404604,0.09063208033801742,-0.11720036861912009,0.11007891869366232,0.007294444521325017,0.006167948632977292,0.034503502268153886,0.008506944831909495
SAED PC 47,-0.006254535060049879,-0.004763377391314174,0.006072012535831779,0.0009818586978558581,-0.03398514750720683,0.014939551250097757,-0.01731275653027678,0.013608395365437276,-0.0064651008430699815,0.029825242304167176,-0.0017496747750498699
