,peak 1 intensity,peak 1 area,peak 1 perimeter,peak 1 shift,peak 1 eccentricity,peak 2 intensity,peak 2 area,peak 2 perimeter,peak 2 shift,peak 2 eccentricity,peaks PC 1,peaks PC 2
59,25326342.303428285,14435.75,520.5203820042827,635.2831282845034,0.7573454117586831,104278708.54498103,18363.25,754.1348660452248,438.6928833386745,0.4527342353132576,115.72194801028772,-150.40105040027734
60,24717430.101335663,14367.5,523.3843430349616,635.5211330015545,0.7565680804243562,108462009.9304106,18911.25,768.7059338570904,438.53310429858675,0.4293054620739162,-316.0641577422862,193.0362107594548
61,24480399.207850337,15038.0,531.8444981433531,634.8771388912364,0.7551449684515695,106355389.41777585,19012.25,712.2267491372617,441.5005584932677,0.3306560913269532,-749.9443351233732,-329.52518501394474
62,23772614.83133781,14892.25,520.0203820042827,634.8348417652545,0.7495758388851926,104432367.25841449,19187.25,746.8376618407358,439.3064876064508,0.2916117899966244,-824.1888177673756,-111.84479945605037
63,25242778.312468518,14849.0,512.0203820042827,636.1953646225985,0.7621811559385825,101356541.75125873,18774.0,710.1262440738733,440.9828506689356,0.35412361402101694,-447.989173553046,-291.7563581541849
64,24496942.307024095,14864.75,508.75261505131635,635.7386005660652,0.7515330563539515,96509235.1504736,18703.5,709.2874093090415,441.0240920544666,0.4146004147731586,-396.08491097494374,-341.7062950388252
65,24313588.33999119,14766.25,520.8236828631818,635.4923951408624,0.7512995662888035,103969553.25913014,18497.25,692.3879143724298,441.5977441583858,0.37481761292559107,-168.43237953955568,-366.45539936565433
66,22343563.53227921,14816.0,513.9450032067415,636.2180777918356,0.7494302015725552,99854200.6578485,19221.0,812.247564417433,436.8344985621683,0.5218709717313125,-815.7438576301489,-24.73979208251216
67,25176175.941213407,14963.5,519.3340905032675,635.4018922810023,0.7487457099805805,101324759.58441514,18935.5,762.1764966055675,439.64392147235424,0.4923162586669776,-647.5714831944604,-302.1057924071041
68,24819196.39076402,14847.5,533.43028458098,635.6586268747205,0.739672295419914,100531072.29447705,18873.5,769.2622830431944,438.9889052369669,0.5062168310797618,-534.6674833071953,-235.51240116276867
69,23781456.4839931,15330.75,529.0914498161482,635.7877335270352,0.7576434994007112,100410772.25298202,19972.25,802.1869042456531,437.4478675389474,0.4769025009090189,-1724.1837291772838,-74.24610246175769
70,23840120.189078268,15477.25,535.4554108468271,634.9297296560546,0.7520826843505488,99190960.62675345,19851.25,798.0300499961608,437.3127737734762,0.3797885262390618,-1697.5145293847593,-262.27069377009906
71,20740587.92533512,15062.25,517.5914498161483,635.9162368093525,0.7533238834067936,98522382.52206841,19819.0,815.0803025278549,436.25817699508514,0.4933188921440281,-1453.8478977342816,76.07028608098649
72,24018294.75113397,15356.5,533.4554108468271,635.8759042495318,0.7456261129830642,105813514.62354061,20166.0,846.6617779798062,436.32745341492307,0.48490565264739444,-1904.5501241497088,7.284342244196485
73,23604984.40525147,14968.25,522.7734303314876,635.606679861595,0.7471524930314417,98269386.58678624,19248.25,807.1869042456531,439.22616573734604,0.4327214397786776,-918.3469056153936,-140.86654966191426
74,24189925.58830048,15048.5,519.7985565973347,635.9457697970937,0.7527407040690719,103770126.61205369,19531.75,769.8836033867541,440.6225678008078,0.4800481435056423,-1200.1545632008242,-64.48890297534416
75,23525605.89898071,14563.0,510.38865402063743,635.9579664376431,0.7583675263866556,110211819.49730906,19056.5,789.3480694808213,440.266593775891,0.46654343307671503,-542.5412043674639,103.81757803555112
