,m2_x_xyz,m2_y_xyz,m2_z_xyz,m2_x,m2_y,m2_z,vol,var1,var2,var3,m3_x,m3_y,m3_z,m4_x,m4_y,m4_z,n_atoms_irr,n_atoms_all
10,207.9528474162779,216.0190687941562,208.85396954335195,219.33664806570428,216.2615120415047,196.59857235002715,9325471.456571672,12027.18503823264,11692.302921733852,9662.784805411575,-44.79730544969928,-45.32177252568641,38.03057955398804,129.72068988531456,135.60838007823466,126.43410789820376,274957.0,4000000.0
11,211.47653509573803,215.5399797815688,204.32143963084002,216.69595136492345,210.98308201126133,203.60761832563725,9308773.286107447,11739.326967929295,11128.506112864668,10364.053640377791,12.751647193383926,40.66993783236088,42.71610500849591,127.61086173158797,126.56859861391665,119.56835298817361,272163.0,4000000.0
12,213.58464830387814,219.78097169100272,204.9192403592785,220.29971526929387,213.31634886634058,204.64149954629855,9616826.635940766,12133.037876707609,11376.009996913119,10469.57616580536,27.22550851535826,29.86379217363634,25.7513682690725,128.1727229351658,125.33989701630597,119.6678307200243,259587.0,4000000.0
13,206.30110397717297,216.5938069383382,205.59911956653212,220.1216066149245,209.01540600200389,199.0051733695828,9155990.608872486,12113.427154979217,10921.90212026263,9900.802951559566,-26.197889403248077,-28.682398670635134,30.33958211968724,131.89789100806243,128.5923260518713,128.8583211906786,259220.0,4000000.0
14,208.0085381458505,213.45944065869983,206.479831606541,217.30652137115376,210.17841865570333,200.17320926917424,9142539.216450075,11805.577355442194,11043.78522747346,10017.367712307574,37.112101178234255,-45.568985420403166,-42.64986241863418,133.7543296597718,131.37994853826072,129.85319308450747,254992.0,4000000.0
15,205.57914221838672,217.56385808804265,205.64532353502378,223.18128034002712,207.87531963825717,197.14152973004977,9146160.470938504,12452.513992768234,10803.074449637186,9716.229252354564,43.7214536087612,39.60900694943069,12.536216067990123,134.3557617078728,131.12637860247017,127.29427853637512,289464.0,4000000.0
16,202.31823733438554,213.96845735563647,209.62530541322897,214.79282841778118,210.96325083957532,200.0412113198707,9064546.09275581,11534.031370734132,11126.413417345468,10004.157626446082,23.10827246934997,37.016982063103114,32.89551966718121,125.94585870191108,126.4944501160054,123.49332468626456,277355.0,4000000.0
17,202.95695960939145,208.80595487808444,207.91072194374075,214.9837198118039,205.01726937103194,199.41976336644785,8789500.891682891,11554.543321545545,10508.059632126047,9942.09782771114,44.236980073478605,28.00935407334556,19.37781187299514,133.1924329318248,128.21406008137546,124.46496475524165,266384.0,4000000.0
18,208.35568346724534,212.64731186307787,205.92597738774035,216.63640501368783,213.74240180010247,196.0084996479999,9076053.133871034,11732.877824199884,11421.49722195828,9604.86968259328,27.11013406748003,-58.57198416056585,-33.323479015815884,129.07885373522515,132.4170866553864,126.62329834035629,261720.0,4000000.0
19,211.11731212064453,209.34160267709788,208.49181320098393,219.06466787597347,207.51963251528522,202.0137016872964,9183587.195400713,11997.37965392064,10766.142073585714,10202.424290373549,-22.94166633170396,40.38936805920081,33.87860105334187,135.97420742980782,125.4009635284152,128.05569542409967,252704.0,4000000.0
20,206.43193562169344,206.58180664389354,210.055629299194,214.59380414225456,209.05142017333998,199.1495850568657,8934077.31985685,11512.668930551608,10925.665575594447,9915.176974718295,17.045606674798826,47.99205414363804,-21.929278637605606,133.2313200537604,130.03426075018277,128.66672662278367,263228.0,4000000.0
21,209.10371581020266,206.53844590402346,203.74027985078655,213.96504235908452,204.7367224437389,200.48548667429824,8782567.770748032,11445.303303969371,10479.321176761272,10048.645753683732,-37.78167612443158,39.19268945690461,41.8292368302127,132.70958881622965,128.58247808106464,128.98946018154692,263316.0,4000000.0
22,210.7834342409912,207.24558869002112,201.27425035573006,218.8290878025831,201.31488973696176,198.69036096359628,8753016.48284885,11971.588100621948,10131.959870937444,9869.502546911957,-48.22534264244154,39.58494974390902,21.79520467521387,134.1074073838536,126.46566967056037,128.59201209529007,262055.0,4000000.0
23,212.58652875567955,209.31729785247873,206.64829711058985,222.61482974223168,207.61023241950247,197.61303363117827,9133104.60571093,12389.386336927324,10775.541925942714,9762.763801490852,52.57332964336512,-32.877053949078395,39.13440710068413,134.61562254162166,124.77976764792167,124.7318921929566,270915.0,4000000.0
24,210.39622816992454,203.01154284010167,215.83422338302586,216.07800400121863,214.80508807027428,198.0750909725304,9193586.948106656,11672.468733715947,11535.348743093336,9808.471364689367,-25.947778371780622,-39.539550039115994,-23.408178863653628,127.29815327504731,130.57774065920572,123.02542475670651,272846.0,4000000.0
25,209.61460235906384,202.0825220325541,206.19602199268178,210.62154514933135,208.976936682245,198.14043346225037,8721160.155511737,11090.399408467336,10917.879973088495,9814.94376348561,17.626996283558654,-40.38015793222308,19.00672617685362,124.24975641689984,129.79824413900306,125.73758556886287,273242.0,4000000.0
26,215.15636152505607,203.68103466566765,216.13903416855604,222.3371621765233,210.5816095962828,201.781758079421,9447445.619447326,12358.49582611781,11086.191614402167,10179.004399992105,55.45784305875968,-45.979966220216824,24.032304739849007,138.44900669333376,133.09990129217664,121.24867321100045,291440.0,4000000.0
27,214.82451560195062,203.93872857103753,216.27603645632814,218.79014406908232,212.52561339530783,203.66550510388635,9470142.438789314,11967.323804949923,11291.823734963606,10369.945903120806,48.2647046098789,21.1673021242369,39.62111952647503,135.9249098648386,131.5639765002907,119.80797982327486,284804.0,4000000.0
28,217.39368230335546,204.24626121976385,213.54613929943184,219.82276773295865,212.7371838784353,202.48294574865417,9469008.970236974,12080.5554293408,11314.317741666464,10249.872420376585,-20.03332875268135,43.14546542296362,42.64938891951863,135.75215239686972,133.00469770492273,123.45515609173523,280123.0,4000000.0
29,207.9574393420155,201.05311474525152,213.85943330124996,214.53006808134876,208.3050024398187,199.97596002006298,8936462.979936557,11505.82902668313,10847.78263587407,9997.632205696018,38.73768300982809,13.168941570728833,-11.792374322711495,126.02031608372447,122.08706563970182,121.59164474537374,277256.0,4000000.0
30,208.10663060300547,201.98445832524538,216.28497310703088,216.63379343828905,208.74977363928048,200.94430134710018,9087154.505211469,11732.593067796686,10894.156882035297,10094.690017549237,43.47556151573325,18.642002636845188,-35.71627206408497,125.54941132745921,123.75789172385899,121.64308575129884,273150.0,4000000.0
31,209.58175437778974,201.6412115568352,213.57224317254298,214.48000806479152,209.94084244205678,200.29968006758662,9019116.744141275,11500.462304377521,11018.83133486274,10030.028693043088,47.53651817242662,-24.798634990226706,-29.422382549629965,127.6844261450656,128.46779286803715,122.40095925995338,262331.0,4000000.0
32,213.2284493522772,203.76756552777002,214.73900831198318,220.65970667402266,208.11768250865882,202.7233537184715,9309702.43667819,12172.719269053383,10828.280455299353,10274.225602841505,20.798306647492307,47.1042264925619,41.9785649548223,134.07630104182172,128.775905415666,121.39926767943274,284864.0,4000000.0
33,212.27358585051715,201.72055371449767,216.11303431827824,217.56054926831234,211.21814549024774,201.27196292753945,9248997.325949367,11833.192516411998,11153.31806391857,10127.638737366196,43.20773002127216,-42.39119702983293,23.336799809560574,130.22451059115969,127.95132625168411,120.71427727089227,266712.0,4000000.0
34,211.06297786028003,200.55828892931265,216.58963007639326,217.7310435166853,211.06640567889715,199.31492874609134,9159658.816932138,11851.743925489143,11137.296461584954,9931.645482786844,26.97990677950108,23.720229073351433,36.32517636196313,128.00358806143,122.48954393043577,119.58500794328157,281529.0,4000000.0
35,205.01643918965124,203.106698103695,215.08022928658121,220.44579016031264,205.74921522896653,196.5057002120288,8912820.288004056,12149.126386352185,10583.219550233382,9653.654168172237,46.176589014645465,38.00553276813498,-40.1488284627826,135.20246260174648,126.70357403264522,125.39377975647128,305358.0,4000000.0
36,205.45923305409073,206.11650181108314,213.5033236064092,217.3102624823377,206.80165492948996,200.72494437732374,9020603.471600024,11805.97844428888,10691.768159707208,10072.660718369634,-19.684075573803533,30.15483834615086,38.94222732073549,134.20708193547364,130.40169423377017,128.06533573985027,288660.0,4000000.0
37,205.99237784204158,208.27094787374375,215.07225211444415,216.49411004180726,208.7354122256959,204.02340328256827,9219815.004060542,11717.46743289779,10892.657598960577,10406.425027350453,17.79708322805022,-32.67022317808487,22.425670475866525,128.74545926501216,127.01230462079403,123.6854559052565,275626.0,4000000.0
38,205.91944678406134,209.8472635938692,209.18997899270778,213.93202710295688,208.68733780372884,202.19253876607104,9026866.726788318,11441.76765146706,10887.638918608021,10220.491053083715,-41.61868219742502,-35.899108967513826,-39.16349792579828,132.65640228638875,126.03044370274742,123.59819782058106,288960.0,4000000.0
39,208.8185856142156,215.2995200510066,212.2498737489354,228.26626791707136,204.99870570535458,202.185893496291,9461145.22887439,13026.418249336557,10506.154421041936,10219.819957311569,-59.3980515012278,27.717028733302282,34.808651588098414,141.13629059701077,127.40246454597482,125.93655359152666,283293.0,4000000.0
40,213.73738670467208,212.60990135613326,207.46724188285526,217.2201332814587,215.31051410241608,200.96291523220503,9398991.04623737,11796.184510436457,11589.691641444851,10096.555793642307,26.631900856364577,18.384931572301667,-38.72139690177214,132.0918448169232,129.94280750027548,127.90640636621896,310960.0,4000000.0
41,208.5486794742424,203.97249222832687,214.00780278148514,218.1228998973491,207.55660771813504,200.5974179309233,9081616.645544376,11894.439984580427,10769.972678735705,10059.864951832065,39.2629539754625,-37.44541368683067,42.39920505697422,132.66786750192955,129.50550184477774,126.5426314951209,296474.0,4000000.0
42,206.8424076983068,198.48834588876002,213.56714946564517,216.31117431017293,203.9717667458413,198.48759821737974,8757545.235927053,11697.6704791229,10401.155481577545,9849.364875029674,40.456684674315916,43.77810096784504,40.499422492736656,130.64418848289372,125.21274594385358,117.399159312876,296547.0,4000000.0
43,213.6444939405197,203.05531875716824,210.86667629819718,216.26546421569694,210.40859218853006,200.74277262341164,9134621.581470447,11692.727549602607,11067.981586845943,10074.449478778095,-34.13890546638859,40.12993052609946,-32.9390985263809,131.86202331826317,125.23001646301192,123.72465466200066,293813.0,4000000.0
44,209.94399976471337,198.67263335543964,209.03540385084108,211.38330333988714,208.28889093500743,197.92911692536873,8714580.27906108,11170.762950504744,10846.102143309332,9794.016900951707,39.8529344673524,56.240094454617605,-32.830415698926906,129.13733835496154,129.90798129056463,120.10667144621283,296167.0,4000000.0
45,212.7088525619094,195.5669284424114,212.19071889506992,217.3115368347981,209.7650909763773,193.1079573968404,8802705.409198401,11806.11274422635,11000.382574962741,9322.699809389314,50.1499219532776,45.466556456870535,-33.63671831879605,133.98040297833734,130.78124264062504,118.49456670092047,321396.0,4000000.0
46,215.2911914908046,209.75054608639192,213.9139906424956,224.6427453389578,209.46374007300702,204.36575708976383,9616330.482767595,12616.130191526214,10968.79888558928,10441.373303434819,12.18874895633273,-33.52808179918645,-38.91742372265225,138.6069878611166,124.42374525856644,131.2935558233082,319937.0,4000000.0
47,210.63214575096617,207.49014246492285,211.57048440934804,222.53240550660445,205.6671353637969,200.89919822556047,9194674.620067438,12380.211571442733,10574.7799661699,10090.157575412262,36.480713677184504,-36.71593605028374,-17.2113992779477,137.3789266540962,124.42181737569706,126.97043746502668,283324.0,4000000.0
48,205.31979674098173,208.99747716097093,215.26495576667,218.08305807143597,207.38972033120075,203.9716873926168,9225269.09434305,11890.095654239223,10752.660740682371,10401.147830094626,21.98584727769526,-31.199053102041336,-31.76339918163525,131.3203241107498,130.55008017044642,127.11586925619649,292861.0,4000000.0
49,208.57142974118494,207.91517497113193,216.04538518914126,216.46793225464546,208.867814233108,207.17683324147433,9367124.253208397,11714.632790632071,10906.479468841,10730.5979501265,35.017783619499426,45.76582969359559,31.738466429257752,126.8162056709125,130.23925418408703,128.78711745251803,283188.0,4000000.0
50,207.66755600797293,209.33815165740978,217.04540566415176,217.88348009257217,214.2508085962202,201.69373762265488,9415408.92946637,11868.344086219067,11475.892240221308,10170.126392562841,39.642653724831995,-27.44679765873148,35.86867865797012,134.4121321328569,134.3485862639389,125.93307900287775,286939.0,4000000.0
51,211.61622052164836,213.70618558558414,214.8355373986125,220.2636446241159,217.65923824906716,201.77821868698834,9673735.522561334,12129.059664371016,11843.926404647968,10178.647108837666,-30.36158566640236,33.10091876353522,22.543959109819617,135.52269988434526,133.61647544707463,127.94891965366371,293124.0,4000000.0
52,203.4060891456816,209.60820697994117,209.80983510216086,213.88974717510044,209.40302010012473,199.32725771153653,8927700.244041508,11437.244437897107,10962.44306175329,9932.872310343279,37.787268262732,36.02163076468953,45.345417743878095,132.34612817171123,130.47717358370454,124.68198355401348,297448.0,4000000.0
53,207.57426941217025,207.7430972264972,208.76491998574465,212.10661757035095,207.36144932093845,204.54602343309526,8996493.672815386,11247.343789984083,10749.73040486449,10459.805646487703,-40.86835642492663,39.27113679624565,33.454869723178895,135.22478145620505,130.23841905246638,128.54349372305836,284846.0,4000000.0
54,209.302496433736,204.086375847513,199.28324627707087,211.1478807850829,202.25917958204138,199.19937947057664,8507127.64920495,11145.894094578558,10227.228069398516,9920.13130838678,26.294373291771205,42.457246477688926,-22.66965775251466,127.47755933988844,124.18399723115688,118.01328473141542,299584.0,4000000.0
55,204.10303837054389,213.33731765035554,207.445066729754,214.36830366496866,212.84778171674117,197.34834503211238,9004574.35107096,11488.481709935484,11326.083295702249,9736.625633937216,54.78036387969832,-43.50072911698578,39.78178359480012,136.8551359698956,132.57655657580688,125.49840977845285,292284.0,4000000.0
56,202.72120944356368,209.57997006419578,206.3462936134589,209.93969627294797,208.6109632575458,200.0130881616609,8759717.658592321,11018.709791285542,10879.673756814269,10001.345867841923,16.19154320226488,38.36521963956063,28.22538982072135,129.65141878265456,132.4077828697872,125.37345883259913,270242.0,4000000.0
57,201.7111479300673,209.33455955550374,206.77024425176356,209.6904330949261,206.71401741651425,201.3988982181471,8729826.942563467,10992.561010424204,10682.711654704692,10140.417405318753,32.65229597662195,-12.610826134068725,10.117161001242675,124.27235769712344,123.37028809366498,119.46214658233832,264387.0,4000000.0
58,205.0113753631419,207.57481261411905,206.82173284112528,210.80440594335107,207.57330649020878,200.91545710340853,8791531.505836377,11109.665504539604,10771.709254410733,10091.792572208671,-30.436810769274977,29.431624328759295,-9.516132931178603,129.71115547398173,121.6366030523001,125.89511006186946,270221.0,4000000.0
59,205.74322455463178,202.7067135742191,208.71109119650396,208.73134142141566,206.89252967698843,201.51256546157467,8702311.121679682,10892.23287008594,10701.168660761623,10151.865462015561,38.38584209373793,29.65451817272831,-35.05854839089596,120.36455782128445,124.80104630808022,123.77444362343745,274729.0,4000000.0
60,209.42803646418835,204.786621702288,208.21724890472464,218.31469692824808,205.74508723322262,197.88819523016568,8888578.965466836,11915.367451384307,10582.796402984717,9789.967915745838,32.56244317337333,-24.827740051563527,-31.295981746865152,134.61308049075024,126.49310436200552,128.2372513752477,292562.0,4000000.0
61,203.82064917215675,205.13691487261735,212.9599098672188,213.90029237839065,210.02971388328598,197.76278287285416,8884575.528735492,11438.370579753679,11028.155668223022,9777.561037609901,-38.37380271578709,45.93934850988968,-34.46208782568325,131.98151723821417,132.30281484211903,125.65886399083777,310742.0,4000000.0
62,206.79875654016706,201.96822089897273,210.52622646185935,213.73247820807558,206.58189520547944,198.79770702971828,8777566.928425418,11420.429266492802,10669.053680833083,9880.163403206283,32.02470815604394,51.0473003389052,-29.892628208146302,130.59754943923585,130.05837289187883,124.57556861406951,315427.0,4000000.0
63,207.6011859385136,203.44543803213014,213.3183071951398,215.12997084875033,207.80889973928737,201.31456895993801,8999953.526705207,11570.264707227037,10796.170736913666,10131.922736032224,45.22687999688561,40.33365254757063,-26.71897659804566,128.26295615833473,121.43127365046233,123.51005840336633,299609.0,4000000.0
64,211.95764103427803,210.5138337648757,209.44460462375454,217.92306302126482,212.48642718346622,201.16713218475527,9315183.477163551,11872.65385521345,11287.657043074365,10117.086580174286,55.20901100731928,40.39174819643671,-28.79003738455742,133.08986111782022,128.89427456953703,128.17294794403549,308332.0,4000000.0
65,210.83293837948148,213.23592371856432,203.63976622950454,217.20781504018336,210.12236436168075,200.14644273723695,9134727.609509833,11794.849122919903,11037.889803134416,10014.683932777501,23.462648045994477,37.39555394258734,29.1204924453165,136.03135116221497,129.10148783366995,122.89706556585328,291993.0,4000000.0
66,213.34851598328922,212.25707699698052,205.91378138037692,219.82568542130227,212.40363356331568,198.82782966198084,9283624.153902363,12080.873558444535,11278.863760407943,9883.159648147615,39.42504446147418,-18.022418710758963,33.30122434832091,135.3810899121626,129.49244202894425,124.6521787814813,297810.0,4000000.0
67,209.5333447201691,208.06925551234403,207.4227108117464,214.12273248452,208.23021688836366,202.51629763444552,9029558.32250385,11462.17595512024,10839.99345867586,10253.248316184541,30.184342246450267,-10.804068765845868,43.528323126687766,135.75197821266855,127.74791636244164,127.38653982757023,287897.0,4000000.0
68,209.3020847990694,217.7570717615328,205.7536651179545,222.27548326056072,211.08977630887028,198.98440037354854,9336364.39029024,12351.639638207778,11139.761315932054,9898.731576095197,40.420191430399846,43.59619576209177,41.20580968154864,132.6528891883976,126.2286611614606,125.9347425504366,293922.0,4000000.0
69,214.10844265205534,221.94295447312606,206.08825040918023,223.23717701812294,213.07417672176308,205.76205972722113,9787294.122101786,12458.748420161186,11350.18683503157,10584.539540347303,-18.242156561496433,48.7548234219528,32.99770984961753,132.00001622309847,126.22226590957693,119.71860620824437,318480.0,4000000.0
70,212.19975100744165,215.66598575897805,210.27377368661917,218.26343226850486,213.2044515481493,206.54429940292945,9611484.314860856,11909.771166967621,11364.0724214909,10665.172455721651,-34.256362230110234,43.69322492948537,-11.523536885128857,135.61900632684052,133.75048296525674,132.9060880508075,299990.0,4000000.0
71,219.14043815057354,216.72985759225796,203.255162518664,223.79248443279408,212.99117327175657,202.13537027198618,9634948.948942052,12520.811111315732,11341.348097276874,10214.711315874443,19.63084593072011,36.126775285159624,-27.995545936690522,138.89974294278997,134.11135446709585,121.37829043178748,297483.0,4000000.0
72,214.098330935439,216.49706356871405,205.25605682758703,231.16086409289707,207.77813716380325,195.53010851577616,9391345.080754034,13358.880617170047,10792.974398353826,9558.037562183967,-37.81918602051307,-40.258893947123184,34.70889309032131,146.21450802773694,130.68387788947234,124.36067483368721,301248.0,4000000.0
73,218.92422914724546,204.1178943510588,207.73708257783895,221.3487778526165,213.85236004393326,194.9833711544939,9229724.77229997,12248.860211250621,11433.245167833507,9504.659676512027,37.38780581422104,41.75424191658741,40.24432574883785,131.26513046916625,134.77667877473056,124.2431419805327,307397.0,4000000.0
74,220.2810591843146,206.80358002157504,211.37197498164113,230.22101762272774,210.47859240616168,196.63830434637882,9528422.819049159,13250.471941907643,11075.345158503833,9666.686837470541,13.587222292781284,-33.71442118230742,-27.729526426357307,144.24031447232224,133.40938174705101,125.1637499585582,310293.0,4000000.0
75,216.88043710899453,208.14308555928332,209.1959173823204,223.66931850988556,209.32317899266891,200.6973906404464,9396485.811622318,12507.035983182963,10954.087704357147,10069.896861575715,18.930096520492366,-31.901151671742124,-33.21744516560616,140.34202598900865,132.37062345303457,126.14530292840537,278104.0,4000000.0
